stage,home_team_api_id,away_team_api_id,B365H,B365D,B365A,Class
3,9987,9991,2.5,3.4,2.7,0
3,9986,9993,2.5,3.3,2.75,1
3,9984,10000,2.4,3.4,2.8,0
3,9994,9997,1.83,3.5,4.33,2
3,8203,8342,2.9,3.3,2.4,1
3,9999,9985,7,4,1.5,2
30,9985,9991,1.85,3.6,4,2
30,9987,8571,2.2,3.4,3.2,0
30,9984,9997,2.25,3.4,3.1,1
30,9994,8635,6,3.8,1.57,2
30,8203,10000,2.9,3.4,2.38,1
30,9999,10001,1.85,3.5,4,0
30,9993,8342,4.33,3.5,1.83,2
4,8342,8571,1.33,4.5,8.5,0
4,9985,9986,1.25,5.5,12,0
4,9997,9999,1.83,3.4,4.2,1
4,10000,8635,3.75,3.25,1.91,2
4,9991,9994,1.5,3.8,6.5,1
4,10001,9987,2.75,3.1,2.5,2
4,9993,8203,1.85,3.4,4,2
5,8635,9985,2.1,3.25,3.3,0
5,9987,9993,1.75,3.5,4.33,0
5,9984,8342,3,3.25,2.25,2
5,8571,9991,4.2,3.4,1.8,1
5,8203,9997,1.91,3.25,3.75,2
5,9999,9986,2.8,3.2,2.38,2
5,10001,10000,2.5,3.25,2.8,2
6,8342,9987,1.83,3.5,4.33,0
6,9985,8203,1.36,4.75,8.5,1
6,9997,8635,4.33,3.6,1.8,1
6,10000,8571,1.67,3.75,5,2
6,9986,9984,1.91,3.5,4,2
6,9991,9999,1.29,5.25,11,1
6,9993,9994,1.85,3.4,4.33,1
7,8635,9991,1.57,3.6,5.5,0
7,9987,9986,1.7,3.6,5,2
7,9984,9993,2.25,3.3,2.88,2
7,9994,9985,5,3.4,1.67,2
7,8571,9997,2.38,3.2,2.75,2
7,8203,9999,1.5,3.75,6,1
7,10001,8342,4,3.4,1.8,2
8,8342,10000,1.5,3.8,6,1
8,9985,9984,1.33,4.5,8,0
8,9997,9987,2.4,3.4,2.8,2
8,9986,8203,1.91,3.3,3.75,2
8,9991,10001,1.4,4,7.5,2
8,9999,9994,2.6,3.25,2.5,2
8,9993,8571,1.8,3.4,4.2,1
9,8635,9993,1.29,4.5,10,1
9,9987,9999,1.36,4.2,8,0
9,10000,9991,2.75,3.25,2.38,1
9,9984,8203,2.1,3.3,3.4,1
9,9994,9986,2.2,3.25,3,1
9,8571,9985,4.5,3.5,1.7,2
9,10001,9997,2.3,3.3,2.8,1
1,9997,9989,2.1,3.2,3.2,1
1,8571,8342,3.75,3.3,1.91,1
1,8203,9994,1.91,3.3,3.8,1
1,10001,9991,2.9,3.2,2.3,2
1,8635,6351,1.2,6.5,10,1
1,9985,10000,1.73,3.6,4.75,0
1,9984,9986,1.8,3.5,4,0
1,9987,9993,1.91,3.3,3.75,1
10,8342,9991,2,3.3,3.75,1
10,9985,8635,3.1,3.3,2.3,1
10,9997,10001,2.4,3.3,2.88,2
10,10000,9986,1.73,3.6,4.75,0
10,9994,9993,2.25,3.25,3.2,1
10,8571,6351,1.44,4.33,7,1
10,8203,9987,3.75,3.3,2,0
10,9989,9984,2.1,3.4,3.4,2
11,9991,8571,1.67,3.7,5,1
11,9987,9985,2.05,3.3,3.6,1
11,9993,9989,1.8,3.5,4.5,0
11,10000,8342,3.4,3.4,2.1,2
11,9986,9994,2.5,3.3,2.75,2
11,6351,9997,3.25,3.25,2.2,1
11,10001,8203,2.1,3.4,3.4,0
11,9984,8635,4.5,3.6,1.75,1
12,8635,10001,1.25,5.5,12,1
12,9985,9991,1.85,3.6,4,1
12,9997,9986,2.25,3.3,3.1,1
12,9994,8342,3.25,3.25,2.2,1
12,8571,9987,4.33,3.6,1.8,1
12,8203,9993,2,3.3,3.75,1
12,9989,10000,2.4,3.3,2.88,0
12,9984,6351,1.4,4.5,7.5,1
13,8342,9985,2.25,3.4,3.1,0
13,9991,8203,1.62,3.75,5.5,1
13,9987,8635,2.45,3.3,2.8,2
13,9993,9997,1.8,3.6,4.33,0
13,10000,9994,2.2,3.3,3.2,0
13,9986,8571,2.65,3.4,2.5,0
13,6351,9989,2.38,3.3,2.9,0
13,10001,9984,2.1,3.4,3.4,1
14,8635,8342,1.62,3.75,5.5,0
14,9985,6351,1.22,6,13,2
14,9997,10000,2.3,3.4,3,2
14,8571,9993,1.91,3.4,4,1
14,8203,9986,1.53,4,6,1
14,9989,9994,2.4,3.3,2.9,0
14,10001,9987,3.25,3.5,2.1,0
14,9984,9991,2.88,3.5,2.3,2
15,8342,9989,1.36,4.75,8,1
15,9991,8635,2.63,3.25,2.63,2
15,9987,9984,1.45,4.2,7,1
15,9993,9985,3.8,3.4,1.95,2
15,10000,8571,2.3,3.3,3.1,0
15,9986,10001,2.88,3.3,2.4,2
15,9994,9997,1.7,3.6,5,1
15,6351,8203,2.4,3.4,2.8,2
16,8342,9984,1.53,4,6,2
16,9991,10001,1.57,3.8,6,0
16,9993,8635,4.75,3.6,1.73,2
16,10000,9985,3.4,3.4,2.1,1
16,9986,9987,5.25,3.75,1.65,2
16,9994,8203,2.2,3.4,3.2,1
16,9989,9997,1.83,3.5,4.33,2
16,6351,8571,2.9,3.3,2.4,1
17,8635,9986,1.18,6.5,15,1
17,9985,9989,1.33,5,8.5,1
17,9987,9991,1.91,3.4,4,2
17,9997,8342,4,3.4,1.91,1
17,8571,9994,2.25,3.3,3.1,0
17,8203,10000,2.1,3.3,3.5,0
17,10001,6351,1.62,3.7,5.5,0
17,9984,9993,1.73,3.6,4.75,0
18,8342,10001,1.62,3.75,5.5,1
18,9993,9987,3.8,3.6,1.91,2
18,9997,8571,2.2,3.4,3.2,1
18,10000,8635,4.2,3.6,1.83,2
18,9986,9984,2.9,3.3,2.38,2
18,9994,9985,3,3.25,2.38,1
18,9989,8203,2.6,3.25,2.7,1
18,6351,9991,3.6,3.5,2,2
19,8635,9994,1.4,4.5,7.5,0
19,9985,9997,1.3,5,9.5,1
19,9991,9986,1.22,5.75,12,1
19,9987,6351,1.25,5.5,11,1
19,8571,9989,1.65,3.75,5.25,1
19,8203,8342,2.75,3.3,2.5,2
19,10001,9993,1.91,3.4,4,0
19,9984,10000,2.05,3.4,3.5,2
2,8342,9997,1.33,4.75,9,1
2,9991,9987,2,3.4,3.6,2
2,9993,9984,1.9,3.4,4,0
2,10000,8203,2,3.4,3.6,2
2,9986,8635,7,3.8,1.5,0
2,9994,8571,2.15,3.4,3.25,0
